Entity,Code,Year,Total confirmed deaths due to COVID-19 per million people
Albania,ALB,53,0.3399008984940351
Albania,ALB,54,0.3399008984940351
Albania,ALB,55,0.3399008984940351
Albania,ALB,56,0.3399008984940351
Algeria,DZA,51,0.023076964792974816
Algeria,DZA,52,0.023076964792974816
Algeria,DZA,53,0.04615392958594963
Algeria,DZA,54,0.06923089437892445
Algeria,DZA,55,0.06923089437892445
Algeria,DZA,56,0.09230785917189926
Argentina,ARG,47,0.021973000060931124
Argentina,ARG,48,0.021973000060931124
Argentina,ARG,49,0.021973000060931124
Argentina,ARG,50,0.021973000060931124
Argentina,ARG,51,0.021973000060931124
Argentina,ARG,52,0.021973000060931124
Argentina,ARG,53,0.04394600012186225
Argentina,ARG,54,0.04394600012186225
Argentina,ARG,55,0.04394600012186225
Argentina,ARG,56,0.04394600012186225
Australia,AUS,41,0.03937290459862532
Australia,AUS,42,0.03937290459862532
Australia,AUS,43,0.03937290459862532
Australia,AUS,44,0.03937290459862532
Australia,AUS,45,0.07874580919725065
Australia,AUS,46,0.07874580919725065
Australia,AUS,47,0.11811871379587596
Australia,AUS,48,0.11811871379587596
Australia,AUS,49,0.11811871379587596
Australia,AUS,50,0.11811871379587596
Australia,AUS,51,0.11811871379587596
Australia,AUS,52,0.11811871379587596
Australia,AUS,53,0.11811871379587596
Australia,AUS,54,0.11811871379587596
Australia,AUS,55,0.1968645229931266
Australia,AUS,56,0.1968645229931266
Austria,AUT,52,0.11386655522926463
Austria,AUT,53,0.11386655522926463
Austria,AUT,54,0.11386655522926463
Austria,AUT,55,0.11386655522926463
Austria,AUT,56,0.3415996656877939
Bahrain,BHR,55,0.58900966859371
Bahrain,BHR,56,0.58900966859371
Belgium,BEL,55,0.43029363581943225
Belgium,BEL,56,0.43029363581943225
Bulgaria,BGR,51,0.14408127797788267
Bulgaria,BGR,52,0.14408127797788267
Bulgaria,BGR,53,0.14408127797788267
Bulgaria,BGR,54,0.28816255595576534
Bulgaria,BGR,55,0.28816255595576534
Bulgaria,BGR,56,0.28816255595576534
Canada,CAN,50,0.026593477869772
Canada,CAN,51,0.026593477869772
Canada,CAN,52,0.026593477869772
Canada,CAN,53,0.026593477869772
Canada,CAN,54,0.026593477869772
Canada,CAN,55,0.026593477869772
Canada,CAN,56,0.026593477869772
China,CHN,0,0.004211861502486993
China,CHN,1,0.004211861502486993
China,CHN,2,0.011933607590379813
China,CHN,3,0.01754942292702914
China,CHN,4,0.02878105360032779
China,CHN,5,0.03931070735654527
China,CHN,6,0.05615815336649324
China,CHN,7,0.07440955321060355
China,CHN,8,0.09266095305471385
China,CHN,9,0.11933607590379815
China,CHN,10,0.14952108333828826
China,CHN,11,0.18181202152402187
China,CHN,12,0.21340098279267433
